id,CreationTime,ExcerciseID,Excercise,Excercise_Completion
6d0f9d65-5460-41d9-9e11-9efff2a07bbf,3/31/2018,287040560-X,CFK,4/28/2019
6fdde849-cb63-46d2-8ced-83f52e265f66,8/15/2020,769163843-4,Static Timing Analysis,10/9/2020
1061df71-4d97-46b8-8394-f55c1d6df517,6/15/2020,866866583-9,Game Design,11/4/2018
b38434cd-99bb-4f73-bf24-0c971346e90c,4/26/2018,872901895-1,Consumer Electronics,6/30/2018
333c4ed8-bd4d-43e3-b07c-0aa8d4012886,8/5/2018,408777356-6,Oracle HR,11/19/2017
588787d7-07d1-42f0-babe-65bdd8d060d6,8/4/2018,389749162-1,CCU,11/20/2018
ec71069c-735f-4202-894d-bb0b984f5ebf,1/13/2020,735450509-9,TMF,6/4/2019
33679844-5e77-463c-b60b-f855a4b1dfe3,2/5/2018,150997224-2,MQL4,11/12/2017
037f8f53-bd3a-4f0c-adc9-fec3c5752d04,10/22/2020,468405181-1,Improvisation,5/5/2020
de3a0b7e-11d4-45a4-93eb-0e70304f57f8,7/15/2019,022965520-3,CVS,3/19/2019
e3dc8d84-a385-4eeb-b6f6-f5d405f7a7a0,8/21/2020,202196612-7,Ventilation,8/5/2019
9ca7eae5-b537-4c02-9100-56d8f69cfd05,7/22/2019,746427455-5,RNA Biology,2/20/2020
778eb176-1f3e-4566-8105-10fcfde66eac,6/26/2019,797310529-8,Kidney Transplant,12/20/2017
53ede778-bc38-46bb-ae92-6bfb00bbbe7d,8/30/2020,558331757-4,VSA,10/18/2018
1969d3ff-960a-4b2d-87a9-91bc84d6b0c5,9/13/2019,763887121-9,Slogans,8/20/2020
b9e3ca6b-6463-486a-b1a5-b1a54f2f6951,8/16/2018,831636752-1,cGMP manufacturing,7/18/2019
8fd7d92d-8fcf-48bb-94d8-4399cc53555b,9/3/2019,482787069-1,CCNP,10/27/2019
bef2b5bb-4dc9-4029-a0cb-a5f546e55121,10/7/2019,591686310-1,PCI Standards,8/21/2018
54e9dc3a-cf00-4fc3-b3df-8508fca38b8a,5/8/2019,805359153-1,Glazing,10/9/2019
8d319e5c-444f-4d48-ab45-1b63b20d65be,4/23/2018,192089188-9,Ektron Content Management System,8/7/2018
290ada9c-d4f3-440c-b3f5-81f1ce332011,4/7/2019,290539979-1,Honeywell DCS,4/27/2019
8c4c43d3-37cd-457a-bd0e-d79f062ba2c4,9/11/2018,419700848-1,Xajax,7/11/2019
03f44099-fee8-411a-a0b8-5c5fa8bc5cca,6/7/2019,180694488-X,Latin America,4/30/2019
1937f230-f0cf-4151-890f-b393d5c734ba,5/2/2019,989629716-9,iOS,4/11/2020
f3e936e4-a89c-46c4-ac41-95f3000a3021,6/16/2018,708678476-1,TVPaint,8/26/2019
0898f085-70bc-4d84-a6ee-de183700f30b,9/8/2020,251328359-7,PMO Services,8/25/2020
4859e424-51a7-4661-8169-5e69c9f28fad,12/22/2019,866082583-7,Facilities Management,5/29/2020
4cd842f9-3967-495e-a6c9-83a968f9bcde,4/27/2020,898392096-3,RUP Methodologies,12/5/2018
b131ffc9-b580-4b47-b9d2-6427dcbde852,9/11/2018,332630274-6,NMR Spectroscopy,4/14/2019
2138a297-4c3f-497c-bdb7-1cd73964ae7e,7/21/2019,606266216-9,Hydropower,5/23/2020
e5d7c830-cef5-4176-9305-e82d9a54d7c4,8/14/2020,712498638-9,Utility Construction,7/3/2018
ba29cee0-6a90-417c-af63-2bccb550042a,4/21/2018,691894713-3,Childhood Obesity,11/13/2018
165712ef-b080-4542-a892-4fc9ba4372cf,4/26/2018,816872343-0,Cost Accounting,9/21/2019
eb211268-24c0-4646-9538-242465d966bf,1/3/2020,225975740-5,VNA,10/31/2018
36c561d1-c0a8-4297-b89b-3949a24a4199,5/12/2020,020637257-4,YUI,3/9/2020
d479a87d-89ec-4a76-b5d3-1a11a94a23f5,9/17/2018,745778404-7,uDig,12/14/2018
b5f17614-8067-426f-9a0f-bd80fedd5966,5/7/2020,032766347-2,Packaging,1/4/2020
09691e2c-9e44-43db-b1d4-b81e860d1927,10/31/2019,354685046-7,BTS Installation,6/29/2020
a40f854b-a906-4693-a00a-33685c458ae3,11/19/2017,930642392-6,IXIA,9/19/2020
47fedd6e-4d7b-44a2-bed3-21459b866af7,5/2/2020,606939965-X,IEEE 802.3,10/6/2019
3e8986f2-e95f-4e9e-b0b1-915249a5a80a,1/9/2020,252196463-8,RNA Isolation,4/17/2018
25e68319-a033-4f1a-9a17-5c65e4f24b7b,11/11/2017,436204939-8,Eplan,1/14/2019
2da29dab-1853-4d24-98fb-48c2c8f1da59,9/6/2019,870855437-4,NTP,12/13/2019
915fa3be-9016-42d4-956e-81d26f112896,1/24/2018,936392255-3,TUPE,11/24/2019
22853e3d-c5b8-40ab-abc2-bf5b76cf4add,10/4/2019,365028217-8,Guided Reading,6/6/2020
5b53bc49-8665-4c5c-a41e-c891bd55eb0b,4/22/2019,274699504-2,DST,3/3/2020
6a8aa625-53b8-4059-9bbd-e5095ecd3629,12/14/2018,105703278-6,Trials,9/13/2018
f5c9c936-bc90-47b7-aad7-b4d2841e725b,4/26/2018,076578629-X,Mergers &amp; Acquisitions,2/3/2019
f16c2d47-43ff-4232-b309-1021526584c1,3/30/2020,176909849-6,Syslog-ng,10/30/2019
c64d5e67-f082-432d-a036-8f6fc1fcdffc,5/6/2018,581656127-8,CPAP,3/27/2018
774560b4-fe00-4547-b6f2-3359cc7588d6,4/26/2019,631882111-2,iPad Development,7/21/2019
90c06dd9-a579-4559-955e-98410b562ff1,4/4/2019,792701477-3,Runway,9/29/2020
9ce7222f-9487-42bc-b4ca-d2b380640a0e,2/24/2019,001065015-6,JCreator,6/27/2019
49953178-6060-4edd-b435-cd2ec4d145c3,9/26/2020,870046611-5,Economic Policy,3/21/2020
52adacd7-86b1-4044-bec7-46af50d4cd69,1/25/2020,597148095-2,Drilling,2/26/2018
17091d3c-f505-4868-a4f2-a2d4b1a8d1a1,12/14/2017,070998951-2,Infor XA,10/26/2019
e1e966b9-cefe-47f8-9f74-c8b757595654,9/20/2018,444369187-1,Cell Biology,1/9/2020
00e98210-188e-483b-b355-6f885414e976,11/10/2019,749575001-4,Dysphagia,9/25/2018
999e0241-36ea-425a-b5e2-da769484c74b,6/26/2020,734597066-3,Web Applications,8/3/2018
cbcfe022-5a73-496b-acaf-fbf1873fb804,3/11/2018,991673953-6,Hiring,11/21/2018
0ad8fa5d-d729-4845-8145-7c16645bddf4,10/2/2020,456362931-6,PVSyst,5/8/2018
31c3b37c-9dc9-4b85-8c65-fbba6820ec32,11/20/2018,732271825-9,Sales Operations,1/17/2018
b4690afc-5304-413e-ac94-7614e62c1775,7/4/2020,421803584-9,iReport,4/22/2019
4deef63c-8a07-4f0a-b4a7-391c01e89aaa,6/14/2020,593182733-1,OLEDs,9/16/2018
86bacba1-91b3-4548-a6f5-cf8b36247d61,5/5/2018,777667680-2,XCOM,3/19/2018
f0bb3167-7aea-4c0a-8dbd-b4ae0110a514,4/3/2019,404011558-9,Irrigation,11/2/2018
10a63b34-93f2-4142-ac18-993ed231b3f3,6/25/2019,122196419-4,Construction Management,6/14/2018
86b83930-aeb4-43b2-84e5-98bf1af69c48,3/12/2019,764931765-X,JBuilder,1/18/2018
9fef9695-5588-4a92-894a-b907e7d3cb70,9/13/2019,695158895-3,Civil Litigation,12/27/2017
22c9bcca-c9bd-4644-97de-b0655dc92838,10/7/2018,933979144-4,DMAIC,8/7/2020
3012963a-b706-4ba5-b25c-49359b36c740,2/4/2020,510075710-8,HNI,8/27/2020
c023cd45-d378-441f-be20-151e86866419,6/9/2018,362707862-4,Product Life Cycle,1/30/2018
894c8b44-7e4c-4b7b-8038-e84932d9c38d,4/19/2020,309848699-6,RPG Free,12/16/2017
17f51127-be33-49a2-985a-a5ada101fdb4,5/2/2020,405463525-3,WS,3/20/2020
b58e2719-679a-4116-9a3a-a59fb9620ba8,12/27/2019,497451324-9,Art,9/20/2019
c499cffe-61b1-4936-bdda-39fe6cd70ba2,9/5/2019,200255770-5,Digital Signage,5/17/2020
9174fa34-ea41-4986-b5d4-35464d1bc61f,12/30/2018,082147236-4,SNA,5/6/2018
f04445aa-de7c-488d-b076-3544b2ec26c7,10/5/2020,049110904-0,Warehousing,12/22/2019
6ca3257d-0998-4a5e-83d3-34b17589bede,8/31/2020,414815703-7,Java Applets,7/7/2020
cc2ec4de-d849-4b36-8b83-2cafda7811cf,10/16/2020,025313774-8,AutoCAD,11/25/2019
ffd92efa-500f-47a3-888f-4299c6379243,3/21/2018,928758477-X,Brain Gym,5/22/2020
ec2f0f9e-8a72-4ccf-880b-c41e6e521bcc,3/6/2020,541673327-6,Jimmy Jib,7/30/2018
66501c2f-6232-4d59-9c94-8fd2d633aaf1,12/26/2017,376179642-0,Reaction Kinetics,1/21/2020
b2fbd07f-53c7-4e23-9b1e-c995257a1850,7/2/2019,236643237-2,European History,10/26/2018
7ae42301-e909-479b-ad1a-cb41944bacdf,10/6/2019,704611516-8,Copywriting,3/25/2020
b0332459-d7e1-4b04-9269-8b950725895e,2/9/2018,451148752-9,Nightlife,6/14/2020
44df773d-ebe0-49f0-9c03-858177fa9e42,11/17/2019,476906427-6,Scripting,6/20/2019
0735ec5c-f5f6-4acf-8cb9-6920025dfe19,6/12/2019,162410631-5,OKI,3/9/2019
6c8d2acd-d6d2-49c2-ba70-ee9caff37aaa,12/16/2018,201431916-2,TCAP,3/23/2020
575fef06-970f-49ed-a8ba-14d306f9f06f,1/16/2018,636621613-4,Food Industry,6/22/2019
5df32679-9212-4e61-a6d4-e6cbb95a22ac,9/25/2020,270140120-8,Buyers,3/13/2019
53120ff6-d7b6-4d60-a477-40af74185138,10/4/2018,626740728-4,FTP software,1/25/2019
98eb0a53-dce8-4dce-a67c-0b9f6099b964,8/15/2019,843968183-6,NX Unigraphics,4/21/2019
3b3bde7a-dd80-4765-a784-52f45873c2fb,9/4/2019,875446083-2,PMP,12/9/2018
298be2ae-935e-4e94-bf49-9e2c3708dea8,9/4/2019,069255133-6,SQL DB2,7/30/2019
890bd769-b814-4827-8d48-c4be32e06463,9/16/2018,155988992-6,Banners,9/10/2019
affcae74-2efe-426b-b54f-e047443ccdbd,4/9/2020,074959559-0,Luxury,8/2/2019
2f237822-2eb7-4441-8a61-3b0edccbb32f,10/21/2020,743280345-5,QA Engineering,4/18/2020
23245ce1-5fde-420f-a970-3f2fa7c2fb62,7/31/2020,749318448-8,RTP,9/22/2019
f21e387e-e0d2-454f-92d0-4f4cf174bbdf,6/28/2018,731654374-4,Internet Yellow Pages,1/31/2018
c01414c6-0890-4199-b767-e7e52591c152,4/4/2019,261746882-8,Fashion Design,10/7/2020
d4c6ab32-dffc-45dc-922a-a288054d3f29,7/15/2018,775900753-1,Guitar Playing,3/23/2020
2207db5b-9e66-40fb-80f5-87ff445621bc,2/17/2019,522685041-7,OBIEE,9/23/2018
95c2e9a4-b7e1-4099-8d65-7b2ec2b4565e,3/17/2018,919835755-7,Total Cost of Ownership,2/14/2018
1ce544cd-c9e0-4815-be6e-ebb8fb9f0146,7/5/2020,267068348-7,Bash,3/3/2019
e7198e66-f6c7-4a5a-a351-6dcff42980c2,3/25/2018,907981104-1,Aquatic Therapy,7/23/2019
1ef9d76e-d157-419d-9dc4-0ffade4237b4,10/27/2018,547175698-3,Theology,4/29/2018
0b01fb4d-c15c-4764-9d4a-81744290c26c,12/21/2017,739797359-0,AX 2009,4/26/2020
44050e38-314b-4618-8b99-c3b5d1ea97d1,7/6/2019,733396385-3,Structural Dynamics,11/25/2018
df6695dd-08ae-48a3-89df-fb9d916df172,8/14/2018,488346150-5,Agriculture,12/14/2017
f7354192-0cf3-456b-b5b8-188841e544eb,10/2/2020,428626046-1,Executive Management,2/15/2020
3d7e35df-76df-498f-bf0c-14a8fda5da5b,7/11/2019,749936000-8,Historical Research,3/30/2018
6fa3fef9-9c97-41c9-b637-e5b41a1af732,9/8/2020,830030389-8,Intercollegiate Athletics,1/7/2018
7a73112e-5e06-4e28-9fd2-d9e752fc18e5,11/21/2018,059525025-4,CQB,12/18/2019
ae48ee7e-c539-43b8-9274-5d738389ad55,4/26/2020,526364092-7,OLE,7/10/2020
1978c125-0217-46db-b4f5-a6ad15d0607d,12/19/2017,497664003-5,Manufacturing,4/26/2019
547d91d7-8a38-4802-8baa-21547c76eed0,11/7/2019,626162613-8,DTDs,11/16/2019
b52cc121-6c51-42e8-8957-65d98ed1a9cf,12/18/2017,200184853-6,Underscore.js,1/10/2019
bb37b8cc-2c12-4d35-a31e-aa9ee41efe70,6/4/2019,628206295-0,Criminal Law,4/11/2018
2e6ae1e1-1046-47cb-86f3-5df8c299a303,5/3/2018,048947173-0,Switching,2/24/2018
20a835e3-0f5e-4298-91fd-853e68ff95a5,6/28/2018,438955322-4,Offshore Operations,11/12/2019
85f9668a-00d9-43e2-87c0-59fb04cbef16,12/15/2019,392442058-0,UCP,4/10/2020
1e567f82-a9a3-4e9a-88cd-ed52bf087d7f,5/2/2019,750070686-3,Zoomerang,7/5/2018
bc297139-a7ee-40c1-a156-980c9f610ad9,2/6/2019,385108304-0,OHSAS 18001,9/10/2019
2ecfc76d-86df-4ccb-be24-9e70f5d3bf5e,10/5/2020,387606457-0,MCAD,6/24/2019
fdfed5ec-35ba-46ae-9798-3e38b9a1cce7,4/2/2020,810804953-9,Clinical Trials,6/2/2020
a7b2efea-fe1e-46bb-9a1d-89f36a77490b,2/18/2019,888547033-5,EEM,9/19/2019
7ac1d36c-5cb5-4ddd-b3a6-df60831540c6,10/3/2018,619430265-8,SSD,5/19/2018
e3db6d7a-7d03-456d-8bbf-3b55573d1e60,7/14/2019,035632232-7,Taleo,3/16/2018
833d40c8-fe36-4964-a3fe-ca48030e15ab,7/23/2019,555659654-9,MQSI,9/29/2020
dd73145d-e84a-426a-9986-6defd85ea026,9/21/2018,171818815-3,Pay TV,12/20/2017
73821430-1185-4d55-86b5-29a6787a2b3f,12/2/2017,268548236-9,iOS Design,9/12/2020
72e75cf6-8eec-4445-9003-e17b9ec1842e,9/4/2019,320658886-3,UML Tools,1/2/2019
3e896fba-504d-4164-806d-384c2c70fd2d,1/14/2018,465999502-X,CVM,3/27/2019
04122dfa-7900-4092-92b1-7c19316c8675,3/9/2019,280991792-2,VCM,5/18/2019
d0125656-ae3a-4ab7-8361-4c1c59c197f8,10/29/2018,942188644-5,Succession Planning,3/15/2018
4eae4880-5df3-429f-b9b4-e5e84fedfb9e,11/24/2018,320465361-7,xCAT,4/28/2018
384fe565-8227-4032-8be3-1f9475f1c82e,4/15/2018,742456346-7,Atmel AVR,6/16/2019
34197450-ef77-4bcd-86be-481c8e502642,7/16/2019,803199794-2,Myofascial Release Therapy,8/22/2018
838806d1-3737-48ac-a5c7-9f31b00ce612,3/5/2020,462041460-3,UDP,8/19/2020
839d9e56-4201-4db3-88a0-f944e6259be6,7/6/2018,953638917-7,Environmental Management Systems,7/27/2018
0cb4783f-0543-4cdb-85f4-44dcf55c53dc,3/6/2018,320024990-0,Literacy,7/2/2018
ef141f20-ffe1-49d1-96ca-37e686a39999,7/17/2020,534958119-8,VPM,12/4/2018
f0605195-1098-4f5e-9b28-9f669a02211d,5/17/2019,927975712-1,DC-9,7/7/2018
7dce2f3a-7a1d-489f-9bb6-c332286a4bc8,2/3/2018,056977414-4,DP,8/28/2019
8d6876ae-98ae-4c90-be74-923e48b8d3dc,12/4/2018,113958520-7,Blogger,9/6/2019
982dbd64-e374-4262-99b1-741d7c682dd2,10/12/2019,243013485-3,LSL,11/17/2019
f1341528-dfd6-4596-ba24-cb2503ac2dcd,1/24/2018,087872174-6,ODBC,6/27/2019
f0aa612b-ae02-4d42-a0bb-e9ce881a706e,2/11/2018,691704767-8,WBEM,12/30/2018
13174067-f7ef-40f9-ab13-c13f769db761,6/21/2020,269754848-3,XAMPP,12/8/2017
997931d6-c0d2-43cf-92f3-edb60e08673a,2/3/2019,734160075-6,RPG II,12/3/2018
514db076-d8e5-409e-8af8-f7a653de4add,2/26/2020,861373116-3,DGFT,7/3/2019
98a0d502-2373-448e-b08e-ed24b46708c5,10/17/2019,116908842-2,Flash,3/4/2020
b11c6b8b-1490-422c-be09-f2a867b37989,8/28/2018,896469570-4,Alcohol Awareness,6/16/2018
6d8f18cb-e81f-497a-8351-c48c2c5d92d6,5/18/2020,798208984-4,IT Infrastructure Management,12/8/2018
8bb958b3-1c49-4a8d-b6cb-6c76e538ddbc,10/23/2020,105339360-1,Ticket Sales,3/20/2020
016a0793-2cba-4440-949f-f1486d508a1b,8/15/2019,654471296-5,JSLint,2/21/2018
742d99b4-e3a7-4798-aeb6-94209b700daa,1/19/2020,741539413-5,BMC Remedy User,12/1/2017
12117d23-0ed1-4e77-85ff-887db2c8a32b,3/14/2019,683830180-6,OTN,8/22/2020
ee05cab8-190b-4d9f-8ff6-b72a09aaee7b,4/24/2020,332705136-4,Nuke,8/7/2020
4102d67c-8075-4690-a4f9-f6297a1fd3f8,7/28/2019,677292700-1,LPC,7/9/2019
42bdbc59-917b-4c6a-8694-ef2fd2ea7f99,4/6/2018,708472071-5,Budget Oversight,1/17/2018
2807b495-464b-4ec6-898f-2c940a5a9445,3/21/2020,721281906-9,Network Administration,1/1/2019
f284a473-7c7c-4df8-b77c-7220f0dbb7fc,1/15/2020,569390805-4,Jeep,3/10/2020
999edfd6-b4d1-43d7-9667-82c7f356d701,12/14/2018,759214432-8,Alcohol Awareness,5/14/2020
946df774-3584-47aa-a5c8-7d3326803e17,3/8/2018,805020618-1,Physicians,7/23/2020
6df2690e-b880-4905-a287-cefff381167f,4/18/2020,321889886-2,LaTeX,2/8/2019
be20d4c9-6ad1-4773-93c8-78809fe6758d,8/5/2020,274185172-7,Warehousing,11/6/2019
579eb708-3b51-416d-b643-812419d85aaf,9/3/2020,770888279-6,Title IV,7/14/2018
ee7aa0fd-7a26-4079-acae-ca5eb1ffbeb7,4/29/2019,904924952-3,Litigation,10/21/2018
4c16d46d-816f-4d23-9861-f59ab6522d92,10/28/2018,553851817-5,CQC,12/6/2018
709037f2-ead8-4462-8081-3f9e66a9c5f4,5/3/2018,797568017-6,Rugby Union,2/12/2019
9703037e-37c8-422c-8828-20e2bbbea440,2/6/2020,719847273-7,Windows 7,2/14/2018
e707fa1b-8bd0-4a8e-adec-3dc9db94575b,3/22/2018,900773178-5,Bookkeeping,10/7/2020
2d5d6198-eff5-41ea-9323-99bfc747c6f0,3/4/2019,536121596-1,Natural Resource Management,12/29/2019
81db5819-49be-4c65-a4d7-1ad20903109e,1/13/2018,625328267-0,MPE,3/26/2020
668717c1-7375-489c-b681-c812b467530c,9/10/2019,136719919-0,Cluster,4/17/2019
ae628716-23ff-4516-abd1-fdb7f9f5e4c3,4/12/2018,104756300-2,EEO,1/1/2020
d356227e-3cad-4f01-8846-0877c8a94d4c,2/20/2019,354585191-5,Switching,6/30/2019
8f5609bf-bde5-4c87-b95c-ef195e5f4362,12/6/2019,211446631-0,VLDB,9/29/2018
d36e1bf3-db39-49cc-aa12-8be86db742fc,8/14/2020,173672946-2,GSD,10/3/2020
95006f25-6cc0-4df8-99c7-a6eedc096c28,11/25/2019,071548293-9,WebSphere Application Server,11/24/2018
db8c4a67-4f43-42f4-a973-7d75637e31c3,8/21/2020,562774889-3,SWOT analysis,3/13/2020
13ee0175-2b12-4965-a8d5-b43f3b46f8c5,10/25/2020,631130665-4,Cluster,2/7/2020
dc3b12d4-a463-4bd6-b101-54d907a5aec6,1/14/2018,018602859-8,SG&amp;A,6/7/2018
72bf0064-8aca-439d-ad63-32dfcad15bc3,1/24/2019,196541943-7,Sports Medicine,9/2/2020
e75ecc02-8758-48bf-816e-da9c7108daab,11/3/2019,693845035-8,Social Media Outreach,5/16/2019
8ced4da4-3be7-4813-bbcd-5bf272220fe7,10/15/2020,706936216-1,RV,4/17/2020
88b445d2-f680-4c8a-ae3d-ff656b8f47af,8/27/2018,612834751-7,SWAT,12/21/2018
cb77995c-4aa6-4b8f-a2b8-71d9c1603f7a,5/15/2019,488095492-6,TSW,2/6/2019
a77c7e78-5d12-4b62-8caf-57ac224327f0,7/31/2020,533908586-4,Typing,11/8/2020
8d845047-4d99-4181-bbc1-c06bb6598b02,4/28/2018,659430223-X,White Collar Criminal Defense,1/20/2018
4ef64bb7-6835-4056-acdd-1c6a8737c53d,10/9/2020,063793310-9,DMT,10/19/2019
74a572be-c188-4c10-b3d3-35985ad638fe,10/27/2018,813544922-4,Class Actions,8/22/2020
c3794ed0-a5e2-4e6d-aa4b-f7418b970e3c,10/11/2020,396743212-2,Mycology,9/23/2019
8194bb7e-69bc-40b7-a481-9321cbff8844,3/14/2018,756766168-3,MMO,8/20/2020
4ce601dd-6790-46b1-87f1-54c60a04eb64,2/19/2020,724057646-9,VMS,4/10/2018
1783764c-4326-4904-bbf0-ce03e7e744fc,12/27/2018,708595860-X,AMBA AHB,11/7/2019
35a72f97-36c7-4b6a-8caf-8e44d91de8f6,3/5/2018,674203521-8,PVElite,4/12/2020
478380e5-c960-46ef-8697-4d14821c4b4b,10/26/2018,916442266-6,MTOs,1/22/2018
72822512-cfec-4511-97d7-93e8a09d20d3,10/3/2018,996433774-4,FDA GMP,7/11/2019
16c76574-f2d2-472f-bb71-14e0ea27b341,9/15/2019,051430696-3,Olympic,8/12/2020
2e13eb0e-4aa7-41d9-908d-02166b3a423a,12/3/2018,334910618-8,Emergency Services,7/19/2020
c6842a24-e0b9-41b3-bd19-957685da8ce6,10/18/2018,891168710-3,JDK,2/8/2019
d48a1105-bcad-4c69-81c3-a99d8dfb4418,11/14/2018,605842671-5,Organizational Behavior,5/4/2018
e213045b-ceb1-43c1-afa5-6ef310f33e9c,2/7/2019,028199497-8,PK/PD,5/21/2019
940424ab-cc16-45d6-b55e-de7e3a8d35a7,5/27/2020,783505127-3,Entertainment,12/14/2019
dd8e5387-757e-4e75-afc1-b749bf576ca8,7/21/2019,247039131-8,Komodo Edit,3/13/2019
a8049abc-5db7-402a-b7eb-85418e2b9a44,9/5/2018,743176990-3,Operational Risk Management,5/30/2020
d1dd087a-2d94-433f-b11f-df269967fc78,11/21/2018,433432837-7,Rhino,12/11/2019
d45a641e-44ef-4196-bc5f-f832ae01eef0,5/24/2020,638116749-1,vBulletin,9/11/2020
00fa5ebd-ab19-42d6-a76d-128e58daaf1e,11/26/2019,851514118-3,Sports Writing,3/24/2020
2dba7af3-1167-4e2b-85ea-35fc10957cdd,10/15/2019,969046449-3,Agile Project Management,5/30/2019
6a58bd3d-8768-4d7f-a373-3503bfb39261,11/15/2018,264527807-8,Certified DDI Facilitator,5/28/2018
d1b35762-6604-46a3-b6cf-a86d3cbfc194,9/21/2020,675533099-X,Statistical Data Analysis,6/23/2019
cac2b091-efb5-46c1-854d-cc7d69275e6b,12/5/2017,148945174-9,MQL,5/12/2019
aa2070ee-c3bc-4898-91d2-7412a7b21807,1/13/2019,602742529-6,RNA,3/10/2018
4362ad51-7b88-4948-95e9-4c4fd177f0ba,10/8/2020,464566296-1,Treatment,12/12/2019
1707bdff-f9c8-4919-9c6e-9feaa5524c9d,6/12/2018,716994225-9,HP EVA,2/14/2020
4af30c26-3a0c-4451-8ac3-7219cb29d239,12/28/2018,048417129-1,Private Equity,3/26/2018
e8b678cd-8b16-439c-a68a-45b2b59c04a9,6/22/2018,114438682-9,CNC Mill,1/28/2019
bf1e2ed9-1b92-42ea-ba2b-22829067a6ff,8/26/2018,597916880-X,LTO,12/28/2018
e8ffe28a-c2d8-4996-a048-3d345d44b2dd,3/14/2018,315819775-8,GSD,6/2/2020
559ea79a-1e1a-41e4-8755-4349a4fc1444,9/7/2018,840037864-4,Sales Operations,1/25/2019
4c36e7b4-f08a-4a78-8619-fb5a66455292,4/14/2018,180569189-9,Call Centers,12/20/2017
282fff37-c0f8-4fea-b142-844e66c5c99d,4/6/2020,443631771-4,Appointment Scheduling,9/22/2018
df8db487-54d7-417e-a564-a506f3eabb42,6/2/2020,757650497-8,Hibernate,6/2/2018
1651abbb-9d1a-4304-bcc3-0faede3a1e90,1/6/2019,671488491-5,MQL4,12/21/2019
8b80f9be-6785-47e4-8f14-6e738595b6cb,2/9/2020,121732451-8,Fashion Shows,11/29/2018
0c51111c-795e-4207-9038-d9a2efe88aa2,1/31/2019,998284594-2,Lyophilization,8/28/2018
c5c0db1e-f58a-4ea2-92a9-d2047ab9ffa9,11/15/2019,423163725-3,Embedded Software,8/3/2018
daba8ebb-001e-44e6-af8e-a2d21d15c66d,11/11/2017,383838149-1,Creative Non-fiction,7/8/2019
bc0a8174-834f-406c-85f9-861b77a907f1,7/25/2019,954673064-5,PCI DSS,11/10/2019
8c0c5d1b-f84d-4f02-bf71-3e312d2e8acc,12/8/2018,740817303-X,Root Cause Analysis,11/6/2019
5b5b7251-4ce2-4c74-af39-5013fb1beaea,2/25/2018,615318513-4,Myers-Briggs Certified,6/18/2019
938f9189-50b0-4a78-8d35-ff5adb2ad8da,11/18/2018,963997631-8,NSS,7/13/2019
58a72c8d-fc4c-49e7-a84f-103396b55788,8/13/2020,724817812-8,Essbase,6/17/2019
9cec1121-be81-4ac3-bfbf-a106c5fd98c0,7/22/2020,720474900-6,Floor Plans,5/31/2018
0c5ea96d-6ccb-4d4a-8120-5d115db26e10,9/28/2020,062014055-0,MVA,1/2/2020
f62994b0-c3a4-4929-910c-59ddb60c4019,12/20/2019,873307458-5,NTP,7/14/2018
a1aa6d3b-ec1d-45fb-b8be-65d99bcf3e90,6/23/2020,126372385-3,McKesson PACS,2/24/2018
a2212734-7f58-4c3c-bc39-336602ebed1b,5/25/2018,221479634-7,GPS Devices,5/5/2018
d458f75e-993b-4738-a1a6-09f04528c635,5/25/2019,769817299-6,Estate Jewelry,12/31/2017
413a6291-7f99-45e2-8259-48d860b6d9ec,6/30/2020,631080655-6,JSLint,9/19/2019
9a70e8c4-1727-40c4-b760-1d05a7c0224b,2/9/2019,065873640-X,BTE,4/24/2020
05296206-26a0-4291-8ead-2fdfed9d2526,1/26/2018,469590271-0,IMS DB/DC,11/24/2017
4161c61a-d629-4e9e-a139-1ca7279b5593,6/19/2019,148989325-3,Medical Devices,7/21/2020
ce05bcd3-d96a-4300-833e-fa902ea73bb2,10/18/2020,526807219-6,Strategic Sourcing,1/28/2019
94ec242a-da81-4232-8973-126e5ce262e8,10/19/2020,418787551-4,MQL,1/18/2019
df0877db-6d9e-4e31-898c-42c90709b00e,4/8/2018,754262198-X,Market Knowledge,9/12/2020
8dd25c16-6cc7-408b-b9a2-ff8d72a4859e,12/11/2018,145872604-5,IEEE,8/5/2018
87d6cd91-28b4-4ffc-8384-e732fd877194,6/20/2019,419238762-X,UCSC Genome Browser,8/7/2018
937e5d3e-aaf3-4cdb-a269-13e0eb6dde55,10/20/2018,960415617-9,Linux Kernel,3/30/2020
2b43fa4a-bc67-42f4-abb0-cc1388cf9564,11/25/2017,940901619-3,Tcsh,4/5/2018
938bf2ce-4ba5-4ec0-b391-d2f80a1db531,1/24/2020,233777966-1,NSA,5/1/2020
2ed9108a-0b29-4e94-a22c-8c5b5086b645,2/6/2020,157518875-9,VRU,9/19/2020
7c3b1ffb-761f-422d-bada-9e0fdff29cf2,2/2/2019,619441029-9,Shopper Marketing,12/27/2019
3fe4d611-2195-4782-b7fb-77897117f200,9/11/2019,555922961-X,Jewish Education,1/21/2020
a00e4654-1959-4dbb-8322-2ff1d2ac7daa,8/9/2019,412177140-0,TPC,4/4/2019
9642d779-c991-4afd-a5a1-9afafcc40637,12/3/2018,316264312-0,Outdoor Education,11/1/2020
be4c657a-3327-4cab-a7f2-49936b7c3297,11/14/2018,141363167-3,Credit Risk,9/17/2019
2ed26c1b-7c74-4f75-9e67-941c76801028,1/3/2020,721671805-4,Smart GWT,3/11/2020
